crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	30.679100	6801	0.000000
281474976710655.000000	28.611725	6802	0.000000
281474976710655.000000	30.491005	6803	0.000000
281474976710655.000000	34.863567	6804	0.000000
281474976710655.000000	30.022688	6805	0.000000
281474976710655.000000	33.803154	6806	0.000000
281474976710655.000000	32.075840	6807	0.000000
281474976710655.000000	28.804018	6808	0.000000
281474976710655.000000	30.532629	6809	0.000000
281474976710655.000000	28.701620	6810	0.000000
281474976710655.000000	30.173359	6811	0.000000
281474976710655.000000	28.640312	6812	0.000000
281474976710655.000000	30.168833	6813	0.000000
281474976710655.000000	34.100136	6814	0.000000
281474976710655.000000	30.933819	6815	0.000000
281474976710655.000000	31.244343	6816	0.000000
281474976710655.000000	34.461586	6817	0.000000
281474976710655.000000	30.473063	6818	0.000000
281474976710655.000000	30.131266	6819	0.000000
281474976710655.000000	31.118307	6820	0.000000
281474976710655.000000	29.970907	6821	0.000000
281474976710655.000000	32.069122	6822	0.000000
281474976710655.000000	28.632912	6823	0.000000
281474976710655.000000	28.730755	6824	0.000000
281474976710655.000000	28.002546	6825	0.000000
281474976710655.000000	28.451477	6826	0.000000
281474976710655.000000	30.120062	6827	0.000000
281474976710655.000000	28.953930	6828	0.000000
281474976710655.000000	33.988407	6829	0.000000
281474976710655.000000	33.762600	6830	0.000000
281474976710655.000000	29.314186	6831	0.000000
281474976710655.000000	28.473492	6832	0.000000
281474976710655.000000	31.355234	6833	0.000000
281474976710655.000000	28.293129	6834	0.000000
281474976710655.000000	30.829124	6835	0.000000
281474976710655.000000	31.395164	6836	0.000000
281474976710655.000000	31.404514	6837	0.000000
281474976710655.000000	28.162655	6838	0.000000
281474976710655.000000	29.136189	6839	0.000000
281474976710655.000000	27.767078	6840	0.000000
281474976710655.000000	28.075951	6841	0.000000
281474976710655.000000	29.860565	6842	0.000000
281474976710655.000000	28.574322	6843	0.000000
281474976710655.000000	27.897053	6844	0.000000
281474976710655.000000	30.369276	6845	0.000000
281474976710655.000000	33.265015	6846	0.000000
281474976710655.000000	29.374382	6847	0.000000
281474976710655.000000	30.135130	6848	0.000000
281474976710655.000000	26.498922	6849	0.000000
281474976710655.000000	33.832783	6850	0.000000
281474976710655.000000	28.449152	6851	0.000000
281474976710655.000000	31.213411	6852	0.000000
281474976710655.000000	28.729872	6853	0.000000
281474976710655.000000	28.875437	6854	0.000000
281474976710655.000000	26.926846	6855	0.000000
281474976710655.000000	28.340403	6856	0.000000
281474976710655.000000	29.022654	6857	0.000000
281474976710655.000000	31.434662	6858	0.000000
281474976710655.000000	27.224941	6859	0.000000
281474976710655.000000	27.680017	6860	0.000000
281474976710655.000000	30.350842	6861	0.000000
281474976710655.000000	26.907398	6862	0.000000
281474976710655.000000	27.125013	6863	0.000000
281474976710655.000000	27.346571	6864	0.000000
281474976710655.000000	30.682384	6865	0.000000
281474976710655.000000	29.172354	6866	0.000000
281474976710655.000000	28.569546	6867	0.000000
281474976710655.000000	29.287485	6868	0.000000
281474976710655.000000	29.299965	6869	0.000000
281474976710655.000000	30.318903	6870	0.000000
281474976710655.000000	29.512117	6871	0.000000
281474976710655.000000	26.633238	6872	0.000000
281474976710655.000000	29.208620	6873	0.000000
281474976710655.000000	29.687630	6874	0.000000
281474976710655.000000	28.914314	6875	0.000000
281474976710655.000000	26.942158	6876	0.000000
281474976710655.000000	26.095440	6877	0.000000
281474976710655.000000	29.565374	6878	0.000000
281474976710655.000000	28.024933	6879	0.000000
281474976710655.000000	26.700624	6880	0.000000
281474976710655.000000	26.702452	6881	0.000000
281474976710655.000000	25.517902	6882	0.000000
281474976710655.000000	25.495956	6883	0.000000
281474976710655.000000	26.689152	6884	0.000000
281474976710655.000000	26.056849	6885	0.000000
281474976710655.000000	28.848301	6886	0.000000
281474976710655.000000	26.233036	6887	0.000000
281474976710655.000000	27.072506	6888	0.000000
281474976710655.000000	27.102991	6889	0.000000
281474976710655.000000	29.496847	6890	0.000000
281474976710655.000000	26.936722	6891	0.000000
281474976710655.000000	27.701681	6892	0.000000
281474976710655.000000	28.945238	6893	0.000000
281474976710655.000000	25.761139	6894	0.000000
281474976710655.000000	26.377169	6895	0.000000
281474976710655.000000	27.805519	6896	0.000000
281474976710655.000000	27.540218	6897	0.000000
281474976710655.000000	27.310524	6898	0.000000
281474976710655.000000	30.626358	6899	0.000000
281474976710655.000000	30.921463	6900	0.000000
281474976710655.000000	25.618711	6901	0.000000
281474976710655.000000	30.295740	6902	0.000000
281474976710655.000000	25.784037	6903	0.000000
281474976710655.000000	27.731335	6904	0.000000
281474976710655.000000	27.012825	6905	0.000000
281474976710655.000000	29.289490	6906	0.000000
281474976710655.000000	26.737827	6907	0.000000
281474976710655.000000	30.693148	6908	0.000000
281474976710655.000000	25.612104	6909	0.000000
281474976710655.000000	27.558851	6910	0.000000
281474976710655.000000	27.354111	6911	0.000000
281474976710655.000000	27.147943	6912	0.000000
281474976710655.000000	27.804308	6913	0.000000
281474976710655.000000	28.079952	6914	0.000000
281474976710655.000000	27.819225	6915	0.000000
281474976710655.000000	25.442949	6916	0.000000
281474976710655.000000	26.234812	6917	0.000000
281474976710655.000000	26.282982	6918	0.000000
